poem_title,first_hemistich,second_hemistich,poet,meter,sub_meter,البحر,جزء البحر,era,rhyme,قافية,type_en,type_ar,link,gender
كان لي قلبٌ فلما ارتحل,رأسك ارفع ما الذي تبتغي,قلت مولاي حلول الأجل,محيي الدين بن عربي,ramel,complete,رمل,تام,Ayyubid,lam,ل,romantic poems,قصائد رومنسيه,https://poetry.dctabudhabi.ae/#/poems/27255-%D9%83%D8%A7%D9%86-%D9%84%D9%8A-%D9%82%D9%84%D8%A8-%D9%81%D9%84%D9%85%D8%A7-%D8%A7%D8%B1%D8%AA%D8%AD%D9%84,m
آذَنَ اليَومَ جيرَتي بِاِرتِحال,كذعور قرعاء لم تعل بيضا,ذات نأي ليست بأم رئال,النابِغَة الشيباني,khafif,complete,خفيف,تام,Umayyad,lam,ل,sad poems,قصائد حزينه,https://poetry.dctabudhabi.ae/#/poems/26385-%D8%A2%D8%B0%D9%86-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D8%AC%D9%8A%D8%B1%D8%AA%D9%8A-%D8%A8%D8%A7%D8%B1%D8%AA%D8%AD%D8%A7%D9%84,m
لا تُبدِلَن غالي الزمانِ ببخسِهِ,يلقي طوائحه بجوشن صبره,وببأسه يفري شكائم بؤسه,نيقولاوس الصائغ,kamel,complete,كامل,تام,Ottoman,seen,س,reproach poems,قصائد عتاب,https://poetry.dctabudhabi.ae/#/poems/109978-%D9%84%D8%A7-%D8%AA%D8%A8%D8%AF%D9%84%D9%86-%D8%BA%D8%A7%D9%84%D9%8A-%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%86-%D8%A8%D8%A8%D8%AE%D8%B3%D9%87,m
أنت أنت يا قمري,والجفون فاتنة,للظباء بالحور,أمين ناصر الدين,unspecified,,,,Modern,raa,ر,unspecified,,https://poetry.dctabudhabi.ae/#/poems/131080-%D8%A3%D9%86%D8%AA-%D8%A3%D9%86%D8%AA-%D9%8A%D8%A7-%D9%82%D9%85%D8%B1%D9%8A,m
أَيا كَعبَة كانَت مُنى المُتَطَوِّفِ,ألم تك طفلا دونك الكهل والفتى,ودونك في حلم نهاية أحنف,أبو الحسن الحصري,taweel,complete,طويل,تام,Andalusian,faa,ف,praise poems,قصائد مدح,https://poetry.dctabudhabi.ae/#/poems/43785-%D8%A3%D9%8A%D8%A7-%D9%83%D8%B9%D8%A8%D8%A9-%D9%83%D8%A7%D9%86%D8%AA-%D9%85%D9%86%D9%89-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D9%88%D9%81,m
أَبا الحَجاج إِني مُستَجير,بحق المصطفى كن لي مغيثا,ومن قصد الكرام فلا يضام,أحمد القوصي,wafer,complete,وافر,تام,Modern,meem,م,praise poems,قصائد مدح,https://poetry.dctabudhabi.ae/#/poems/84826-%D8%A3%D8%A8%D8%A7-%D8%A7%D9%84%D8%AD%D8%AC%D8%A7%D8%AC-%D8%A5%D9%86%D9%8A-%D9%85%D8%B3%D8%AA%D8%AC%D9%8A%D8%B1,m
إن الذي سمك العلى وبنى على,هي كالكواكب لا يقوم بحصرها,نظمي وإن كنت الخطيب المصقعا,إبراهيم قفطان,kamel,complete,كامل,تام,Modern,eain,ع,unspecified,,https://poetry.dctabudhabi.ae/#/poems/100142-%D8%A5%D9%86-%D8%A7%D9%84%D8%B0%D9%8A-%D8%B3%D9%85%D9%83-%D8%A7%D9%84%D8%B9%D9%84%D9%89-%D9%88%D8%A8%D9%86%D9%89-%D8%B9%D9%84%D9%89,m
في مقصدي ومُرادي,يا ساداتي أنتم الموالي,نمشي نزور محمد,أبو الحسن الششتري,muashah,complete,موشح,تام,Andalusian,,,unspecified,,https://poetry.dctabudhabi.ae/#/poems/70614-%D9%81%D9%8A-%D9%85%D9%82%D8%B5%D8%AF%D9%8A-%D9%88%D9%85%D8%B1%D8%A7%D8%AF%D9%8A,m
قِفوا بي عَلى الرَبعِ المُحيلِ أُسائِلُه,فكم أخذوا مالا وكم سفكوا دما,وكم تركوا سربا تبكي أرامله,محمد بن عثيمين,taweel,complete,طويل,تام,Modern,lam,ل,wisdom poems,قصائد حكمة,https://poetry.dctabudhabi.ae/#/poems/89532-%D9%82%D9%81%D9%88%D8%A7-%D8%A8%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B1%D8%A8%D8%B9-%D8%A7%D9%84%D9%85%D8%AD%D9%8A%D9%84-%D8%A3%D8%B3%D8%A7%D8%A6%D9%84%D9%87,m
بالسعدِ طالعُك المهلْ,واسعد بمنفصل السنا,منكم وليس بمنفصل,ابن الجنان,kamel,complete,كامل,تام,Andalusian,lam,ل,unspecified,,https://poetry.dctabudhabi.ae/#/poems/47068-%D8%A8%D8%A7%D9%84%D8%B3%D8%B9%D8%AF-%D8%B7%D8%A7%D9%84%D8%B9%D9%83-%D8%A7%D9%84%D9%85%D9%87%D9%84,m
وصبت ورَيعانُ الشبيبةِ مونقُ,في السلم وابلها النضار وإنما,في الحرب وابلها دم يتدفق,حيدر الحلي,kamel,complete,كامل,تام,Modern,khaaf,ق,romantic poems,قصائد رومنسيه,https://poetry.dctabudhabi.ae/#/poems/79861-%D9%88%D8%B5%D8%A8%D8%AA-%D9%88%D8%B1%D9%8A%D8%B9%D8%A7%D9%86-%D8%A7%D9%84%D8%B4%D8%A8%D9%8A%D8%A8%D8%A9-%D9%85%D9%88%D9%86%D9%82,m
لك يا وليد تحية الأحرار,والعدل يقضي بالخراج لقيصرا,والصفح عن كل يسيء من الورى,جبران خليل جبران,kamel,complete,كامل,تام,Modern,,,general,قصائد عامه,https://www.aldiwan.net/poem104633.html,m
يا دارُ أَقوَت بَعدَ أَصرامِها,جوار غزلان لوى هيثم,تذكرت فيقة أرامها,الطرماح بن حكيم الطائي,saree,complete,سريع,تام,Umayyad,meem,م,general,قصائد عامه,https://poetry.dctabudhabi.ae/#/poems/22845-%D9%8A%D8%A7-%D8%AF%D8%A7%D8%B1-%D8%A3%D9%82%D9%88%D8%AA-%D8%A8%D8%B9%D8%AF-%D8%A3%D8%B5%D8%B1%D8%A7%D9%85%D9%87%D8%A7,m
رجَعَ الغرامَ إِلى الحبيبِ الأَوَّل,رجع الغرام إلى الحبيب الأول,فجرعت بعد تعذلي لتغزلي,ابن سناء الملك,kamel,complete,كامل,تام,Ayyubid,lam,ل,romantic poems,قصائد رومنسيه,https://poetry.dctabudhabi.ae/#/poems/47685-%D8%B1%D8%AC%D8%B9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A7%D9%85-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AD%D8%A8%D9%8A%D8%A8-%D8%A7%D9%84%D8%A3%D9%88%D9%84,m
أرَّق العينَ خيالٌ قد طرقْ,وقوام ناعم أعطافه,حسن الخطرة كالخوط الورق,النبهاني العماني,ramel,complete,رمل,تام,Mamluk,khaaf,ق,wisdom poems,قصائد حكمة,https://poetry.dctabudhabi.ae/#/poems/59480-%D8%A3%D8%B1%D9%82-%D8%A7%D9%84%D8%B9%D9%8A%D9%86-%D8%AE%D9%8A%D8%A7%D9%84-%D9%82%D8%AF-%D8%B7%D8%B1%D9%82,m
لَمّا حُجِبتُ بِبابِ دا,أشرعت سير حميرتي,وعلمت أنك كنت تأكل,جحظة البرمكي,kamel,complete,كامل,تام,Abbasid,lam,ل,satire poems,قصائد هجاء,https://poetry.dctabudhabi.ae/#/poems/32895-%D9%84%D9%85%D8%A7-%D8%AD%D8%AC%D8%A8%D8%AA-%D8%A8%D8%A8%D8%A7%D8%A8-%D8%AF%D8%A7,m
ببابك يا الله عبدك مخبت,تعلقت بالله الكبير جلاله,بعز اسمك الذاتي في قيد شقوتي,أبو مسلم البهلاني,taweel,complete,طويل,تام,Modern,,,religious poems,قصائد دينية,https://www.aldiwan.net/poem91851.html,m
ياللَه يا رب القَدر يا عالي,لقرا التحيد والحمد وارقاكم,في سورة الإخلاص والأنفالي,شبلي الأطرش,colloquial,complete,عامي,تام,Modern,,,unspecified,,https://poetry.dctabudhabi.ae/#/poems/95446-%D9%8A%D8%A7%D9%84%D9%84%D9%87-%D9%8A%D8%A7-%D8%B1%D8%A8-%D8%A7%D9%84%D9%82%D8%AF%D8%B1-%D9%8A%D8%A7-%D8%B9%D8%A7%D9%84%D9%8A,m
أَلا فاذكروا المُختارَ تَحظوا بِخَيرِهِ,بعضب من التوحيد لا يتقصد,وقد هدمن بنيانهم كل ردهة,أبو زيد الفازازي,taweel,complete,طويل,تام,Andalusian,,,unspecified,,https://poetry.dctabudhabi.ae/#/poems/81956-%D8%A3%D9%84%D8%A7-%D9%81%D8%A7%D8%B0%D9%83%D8%B1%D9%88%D8%A7-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%A7%D8%B1-%D8%AA%D8%AD%D8%B8%D9%88%D8%A7-%D8%A8%D8%AE%D9%8A%D8%B1%D9%87,m
